"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"O15042",-21.4230046707,-21.6121363949,-21.4718478637,-21.1017887913,-21.6518227891,-21.2959830878,14,12,12,14,13,13,0.643147029538666,0.898375870069606,-0.152464753699999
"O15050",NA,-27.6010139602,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA
"O15067",-21.2655630581,-21.361860565,-20.6031544733,-21.034106023,-20.8330333201,-20.6717484974,14,17,23,19,20,25,0.521035844673083,0.848170398689241,-0.230563418633334
"O15084",-23.0324835629,-23.0031824266,NA,-22.3118463585,-21.8015701912,-24.0792600891,6,3,NA,6,6,7,0.548178891470295,0.859749739311783,-0.286940781816668
"O15116",-19.1513355751,-19.5937116017,-19.2194103952,-18.5366357402,-18.837438487,-19.6844906674,7,6,5,5,5,6,0.435975937603717,0.808277541083384,-0.301964225799999
"O15127",NA,NA,-21.9233074616,-21.7684273374,-21.7229177834,-22.0765579648,1,2,1,2,1,2,NA,NA,NA
"O15143",-22.1832226163,-21.3627489711,-20.8629819935,NA,-21.0203117754,-19.9437841913,3,6,6,8,9,9,0.0602248589445735,0.411167512690355,-0.987603210283332
"O15145",NA,-21.8866243165,NA,NA,NA,NA,1,1,1,2,2,2,NA,NA,NA
"O15160",-20.3846143977,-20.481746149,-20.2469357722,-20.1603792206,-20.0896845002,-20.6669497839,4,5,6,6,8,5,0.829806007301693,0.935289691497366,-0.0654276047333298
"O15164",-22.4065421553,-22.8582681556,-23.0989992807,-23.2371034382,-23.1188373986,-23.4433867808,5,6,4,7,4,9,0.217046299369399,0.65948275862069,0.478506008666667
"O15212",-19.9378545455,-19.8396383337,-19.9754380007,-19.164425655,-19.8138273084,-20.7533887455,6,5,4,6,6,5,0.96101443743777,0.968435191403627,-0.00709639033333076
"O15213",-23.343995176,NA,NA,NA,-22.9053770221,-23.170370457,1,2,1,3,2,2,NA,NA,NA
"O15226",-23.2166939276,-23.139795702,-21.973114933,-23.2760891238,-23.1988026451,-21.6370297209,11,17,11,15,10,18,0.847169764354464,0.941916389197188,-0.072561024266669
"O15228",NA,NA,-23.9074239915,NA,-23.3257584594,NA,1,NA,2,2,5,NA,NA,NA,NA
"O15234",NA,NA,NA,NA,-24.1095459808,-24.3549757689,1,1,NA,1,3,2,NA,NA,NA
"O15247",-20.4869043074,-20.4259859991,-20.084302095,-20.6018227451,-20.9914357242,-20.1086718635,5,4,4,4,4,5,0.518919681380684,0.848170398689241,0.234912643766666
"O15258",-21.6219368782,-21.2514642138,-21.4816944182,-21.2121347194,-21.1450240388,-21.2342880777,1,1,1,1,1,1,0.447110189180219,0.808277541083384,-0.254549558099999
"O15269",-22.1925824763,-21.6248350138,-22.0326324764,-21.0450683713,-22.9461421259,-22.0278542773,4,4,4,5,3,4,0.870772817789578,0.947769314472252,0.0563382693333345
"O15270",-22.4263613614,-22.0788042294,-22.1513418752,-21.456670825,-21.42888454,-22.5057938406,3,3,3,4,5,3,0.298197311649519,0.730866274179983,-0.421719420133332
"O15294",-21.8435112206,-22.4234614817,-21.4368319146,-22.1766982065,-21.6744211867,-22.323412826,13,16,15,10,15,12,0.663013773647527,0.909709618874773,0.156909200766666
"O15305",-22.107681732,-22.0686362769,-22.154089284,-21.3030367784,NA,-22.3348032169,2,2,1,2,1,2,0.452961832061069,0.808277541083384,-0.291215766650001
"O15347",-20.521289521,-19.5245900085,-20.1733472666,-20.3773740053,-20.0221647546,-19.4154008808,3,6,5,4,4,5,0.712748755393296,0.927234042553192,-0.134762385133335
"O15355",-21.8027418673,-21.8519624149,-21.9925910114,-21.1127138384,-21.6020099746,-21.1442009419,7,14,10,11,13,15,0.127089445735148,0.5203125,-0.5961235129
"O15357",NA,NA,NA,NA,NA,-24.9038492269,NA,NA,NA,NA,NA,2,NA,NA,NA
"O15371",-21.7658553341,-22.2630664597,-20.7665123355,-20.0095044423,-20.2237834981,-20.2087575568,12,11,12,16,14,14,0.00882475937603717,0.15,-1.45112954403333
"O15372",-21.957963603,-20.1529928145,-20.7646009473,-20.4706197692,-19.3061369978,-19.8650764491,12,12,11,14,13,16,0.0438390308662463,0.35423197492163,-1.07790804956667
"O15381",-21.4403346987,-22.9463336024,-21.5347066957,-22.3219678615,-22.9755679926,-21.8822237472,10,6,13,9,10,13,0.341844507135745,0.76860119047619,0.419461534833331
"O15382",-21.1454734486,-22.4950472101,-20.92499287,-22.4075945558,-21.1383641515,-20.8677755842,5,3,6,3,3,6,0.885358446730833,0.952091526635681,-0.0505930790666689
"O15392",NA,NA,NA,NA,NA,-21.5727999654,1,1,3,2,1,3,NA,NA,NA
"O15397",-22.22664683,-22.5153786015,-22.5943086689,-23.4203875497,-22.4086230518,-24.7373454825,7,7,6,6,9,6,0.0475381679389313,0.358433734939759,1.07667399453333
"O15400",-21.8981436219,-20.9902290013,-22.2513613007,-21.0810241178,NA,-22.1803512595,2,5,4,3,1,2,0.828007135745105,0.935289691497366,-0.0825569526500018
"O15446",-21.5709608041,-23.0228661711,NA,-22.266596337,-22.0656577243,-23.1480479614,4,2,1,4,5,3,0.644297046133422,0.900324524802967,0.196520519966665
"O15479",-21.8154641708,-21.6629761083,-21.289294912,NA,-21.7152285197,-21.8436932983,10,11,8,6,10,9,0.578996349153667,0.867326732673267,0.190215845300003
"O15498",-21.829860241,NA,-21.5968822849,-21.5734087829,-21.7072163,-21.6533136516,3,2,2,2,4,3,0.814747925655493,0.932222642938281,-0.0687250181166661
"O15504",NA,NA,NA,-23.1473367662,NA,NA,1,NA,1,2,1,2,NA,NA,NA
"O15511",-21.5949992582,NA,NA,-21.7416453944,NA,NA,4,1,2,2,3,1,NA,NA,NA
"O15514",-20.8566251447,-19.7115950982,-19.9496898052,-20.8105713905,-20.9119023307,-19.9716735086,3,5,4,3,3,4,0.346035844673083,0.76860119047619,0.392079060566669
"O15541",-22.5509985782,-22.6863578087,-22.8197960911,-22.6552752306,-22.5822461178,-22.7562480394,1,2,2,2,2,2,0.924117490872884,0.958145970252508,-0.0211276967333305
"O43137",-20.007611341,-19.3411841233,-20.954223733,NA,-19.3471378659,-20.4408460025,4,4,4,1,2,2,0.632832227016263,0.895522388059702,-0.207014464900002
"O43143",-20.7012844226,-21.932966699,-20.4817769912,-20.3257717935,-20.5549160247,-20.2241549297,22,24,32,33,28,30,0.138941088615997,0.535190615835777,-0.670395121633337
"O43148",-23.498281244,-21.8580751826,-21.4631977266,-21.5742649239,-22.9014320203,-21.6868227019,3,6,7,8,6,8,0.618482741453701,0.890856869315462,-0.219011502366666
"O43156",NA,NA,-24.0505871323,-23.9685311375,-24.0329522089,-23.8816372433,2,3,6,5,4,7,NA,NA,NA
"O43159",-21.9074143025,-21.2296338174,-21.0910952424,-21.9406314508,-22.1760796224,-20.9507569507,6,5,6,6,7,7,0.48254065715234,0.829638273045508,0.279774887199999
"O43169",-21.2534737974,-21.2879821182,-21.4954434844,NA,-21.29323292,-21.7369286741,1,1,1,1,1,1,0.613190175904414,0.888138862102218,0.169447663716667
"O43172",-21.0400753568,-21.1772350303,-20.7081559489,-20.237884432,-20.5407401732,-20.233334569,10,9,9,12,14,12,0.107554430799867,0.506108202443281,-0.637835720599998
"O43175",-19.9118276241,-19.4188198955,-20.1141310899,-19.6663392301,-20.3055704209,-19.3870770007,22,22,20,20,18,26,0.915298871556588,0.957336108220604,-0.028597319266666
"O43181",-21.4529549433,-21.0437354664,-21.1465252885,-21.1208500604,-20.8192978016,-21.3584478824,3,2,1,4,2,1,0.724926983073349,0.928516228748068,-0.114873317933334
"O43182",NA,NA,NA,-22.6823999387,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"O43237",NA,NA,NA,NA,NA,-23.4623988775,1,4,2,2,3,1,NA,NA,NA
"O43242",-19.9880373629,-20.3218456483,-20.1168074133,-20.3516609872,-20.1488148857,-20.0047661226,20,17,20,20,23,20,0.913955857948888,0.957336108220604,0.026183857000003
"O43252",-23.2908397189,-22.0128141094,NA,NA,NA,-23.7027201403,9,5,5,5,4,3,NA,NA,NA
"O43264",NA,-22.8922406297,-22.2342797125,-22.7562877922,-22.8421651605,-21.8248716713,5,6,9,6,9,10,0.80600862927315,0.928928159815597,-0.0888186297666707
"O43290",-21.2341883601,-20.4328805993,-20.7711188969,-20.4129634772,-21.7314466261,-21.1769338022,13,20,13,16,10,17,0.461850315300365,0.816265060240964,0.294385349733336
"O43314",-24.5694566681,NA,-24.5475636411,NA,NA,-23.5475689155,4,4,4,3,5,9,NA,NA,NA
"O43318",-24.1574115221,-23.8769977825,-22.5311184759,-22.3608663716,-23.575758682,-22.6140577636,1,4,3,5,4,3,0.164005476269499,0.579821200510856,-0.671614987766667
"O43324",NA,-21.5746829852,-21.5902461253,-21.5940485973,-21.4505811338,NA,5,4,6,3,6,5,0.831966312645204,0.935386927122464,-0.0601496896999976
"O43390",-18.7960399435,-19.1044287394,-18.9870190378,-18.6208586342,-18.9548884261,-18.8582700786,34,39,43,43,52,44,0.638621639561898,0.895522388059702,-0.1511568606
"O43395",-21.3107737576,-21.9787221922,-21.4699367708,-21.1916906526,-20.9462275273,-22.1132549358,10,7,12,11,12,10,0.649332724858945,0.902809765085214,-0.1694198683
"O43396",-20.024771566,-19.4117775246,-19.7525503654,-19.7453438687,-19.2253447994,-19.1515851852,8,12,12,8,14,12,0.343878858280783,0.76860119047619,-0.355608534233333
"O43399",-19.2721346354,-19.4033911328,-19.4281210332,-19.8084595343,-19.0511477824,-19.0287563297,8,8,6,10,10,9,0.821954862263525,0.932222642938281,-0.071761051666666
"O43402",-20.5425301413,-20.4583629056,NA,-21.3283225426,-20.090282258,-22.3006044112,4,6,6,2,4,7,0.160997510786591,0.571805006587615,0.73928988048333
"O43447",-19.9865364474,-20.531562023,-21.7650778174,-20.6493327769,-21.0626481259,-21.7460756178,5,7,9,7,8,11,0.376775638898108,0.792639773531493,0.391626744266667
"O43464",-22.9802803466,NA,NA,NA,-23.0035275222,NA,2,NA,NA,2,4,3,NA,NA,NA
"O43482",-21.6101998886,-20.8518161371,-20.8704511811,-20.8928159957,NA,-21.6118624254,3,2,2,2,1,2,0.702475439761036,0.916775032509753,0.141516808283331
"O43488",-21.5171926172,-22.4267716676,-22.4648163834,-22.5441227145,-21.4049843371,-22.5600738297,5,4,2,5,3,3,0.909949054098905,0.957336108220604,0.0334667376999995
"O43491",-22.1404487753,-21.380202582,-21.4620322687,-21.9138326933,-21.0526790305,-21.4681171729,8,10,9,9,9,10,0.615427149020909,0.88985088985089,-0.182684909766667
"O43493",-23.7454453055,-22.2199280431,-22.4534588247,NA,-22.3025997981,-21.9746278224,2,2,3,2,3,5,0.166239960172585,0.579821200510856,-0.66766358085
"O43504",-18.4815211194,-17.9786703684,-18.2708356131,-18.5779469186,-18.4824941069,-18.0619302991,3,4,4,3,3,4,0.695586292731497,0.915536105032823,0.130448074566665
"O43583",-19.0359104138,-19.9617547585,-20.1063142283,-19.158936027,-19.1371419227,-20.0305074529,4,4,4,4,4,5,0.512245104546963,0.844617092119867,-0.259131332666669
"O43592",-21.458465825,-21.0156679131,-21.4181224623,-20.450895058,-21.4611982439,-21.9472221569,12,17,18,22,14,12,0.953126783936276,0.967556606961811,-0.0109802471999991
"O43598",-19.6883216623,-19.8625743611,-19.544429245,-19.916406454,-19.145131181,-19.5622456386,3,2,4,2,3,3,0.64576734152008,0.902405180388529,-0.157180664933335
"O43615",-19.641308764,-19.9280959427,-20.2270758887,-19.4554144657,-19.4664588587,-19.8851505265,12,13,15,17,21,18,0.366358612678394,0.789623312011372,-0.329818914833336
"O43633",-21.1925226166,NA,-21.3896290502,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA
"O43660",-21.5192919756,-21.7750580291,-21.6170879757,-20.8670981099,-20.9613029467,-20.9484122208,7,10,12,8,9,8,0.068035180882841,0.416666666666667,-0.711541567666668
"O43663",-22.6639222047,-23.4749784242,-23.7220998883,-23.7780822769,-23.6955231428,NA,3,4,2,5,4,5,0.280606870229008,0.714036617262424,0.449802537450001
"O43665",NA,NA,-20.6974568715,-22.7038320998,NA,-21.3814884549,3,1,3,2,1,4,NA,NA,NA
"O43670",-22.354406183,NA,NA,NA,NA,-22.5134965516,2,3,3,3,2,3,NA,NA,NA
"O43674",-21.7025590903,NA,-20.8767173261,NA,-21.6511663363,NA,3,2,2,1,3,NA,NA,NA,NA
"O43676",-20.9700158161,NA,NA,NA,-21.1133831267,NA,2,2,2,NA,1,3,NA,NA,NA
"O43678",NA,NA,-21.1954761488,NA,NA,NA,1,1,1,2,1,1,NA,NA,NA
"O43681",NA,-21.9410471246,-22.8116269358,-21.3743345259,NA,-22.7136949366,6,4,4,5,4,3,0.476646199800863,0.829525483304042,-0.332322298949997
"O43684",-19.5390927315,-19.4050700535,-18.8819582588,-18.6218502872,-19.5022102097,-18.7384440653,17,21,16,22,16,18,0.403374709591769,0.796742671009772,-0.321205493866668
"O43707",-19.1842190707,-19.164262362,-19.1240594648,-19.0198321236,-19.0336741175,-19.2255155357,81,81,94,80,83,91,0.821745934284766,0.932222642938281,-0.0645063735666653
"O43709",NA,NA,NA,NA,NA,-22.348798954,NA,2,2,2,NA,1,NA,NA,NA
"O43719",-22.487080224,-21.773308107,-21.7562198553,-22.2045314109,-22.390282736,-21.7265444435,4,5,7,6,5,9,0.762361433786923,0.928516228748068,0.101583468033333
"O43747",NA,-23.660562371,NA,-23.7450588574,-24.2402511476,-24.2123267341,8,8,9,7,9,11,NA,NA,NA
"O43765",-19.6600925259,-19.4993520909,-19.0643190036,-19.3012588944,-19.1275451099,-19.5380376949,13,11,11,12,13,13,0.786585628941255,0.928516228748068,-0.0856406404000012
"O43768",-21.0150957717,-18.4399757189,-19.2159014027,-21.0445123444,-18.9148169604,-18.7092352258,5,7,6,6,8,9,0.973386325921009,0.971457019581812,-0.000802787566666296
"O43776",-19.5271177517,-19.2340114169,-19.0813930026,-19.3284687981,-18.8021927926,-19.2720713648,19,22,20,23,25,27,0.661558911384003,0.908677873693776,-0.146596405233336
"O43808",-22.6528541993,-22.2876420191,-22.5584878513,-22.8652192781,-22.4233810793,-22.8610730714,3,2,4,3,2,5,0.528441586458679,0.854899837574445,0.216896453033335
"O43809",-19.7050191238,-19.4048820536,-19.1369894317,-19.5121014601,-19.6749583043,-19.4529263246,8,7,11,8,8,12,0.688487222037836,0.913254073095553,0.131031826633333
"O43815",-22.1694950581,-22.8739736588,-23.2806317556,-22.5432833553,-22.5761516162,-23.0823066125,3,2,2,4,5,2,0.890924825755061,0.954675231977159,-0.0407862961666652
"O43818",-22.3662199692,-21.2902012564,-20.7169733238,-21.7000111051,-20.4867848608,-21.05739418,7,7,10,7,8,8,0.389038665781613,0.795595320027529,-0.376401467833336
"O43823",-23.15744586,-23.0279374159,-22.9936844645,-22.559124339,-23.0062309559,-23.0765043595,4,2,3,4,4,2,0.591147693328908,0.86962962962963,-0.179069361999996
"O43837",-20.1532848071,-21.131778825,-19.8070694924,-20.5969501468,-20.5587017381,-20.2546072814,6,8,11,7,11,8,0.763924659807501,0.928516228748068,0.106042013933333
"O43847",-21.5575443081,-21.3073897563,-21.6475861839,-21.2594849292,-20.9834569428,-21.7311449384,19,21,21,23,24,23,0.602757384666445,0.880975609756098,-0.179477812633333
"O43852",-19.0430323851,-18.9546055306,-18.8752182794,-18.4634022499,-18.6246695062,-18.8613667914,21,19,21,24,22,23,0.373159309658148,0.789623312011372,-0.307805882533334
"O43865",NA,-23.3212192855,-23.5593459287,NA,NA,NA,3,3,6,1,2,1,NA,NA,NA
"O43913",NA,-23.3191281937,-23.6105524223,NA,-22.1382723376,NA,4,3,5,1,5,3,NA,NA,NA
"O43920",-19.6936225151,NA,-21.0280453741,NA,-20.7339688961,NA,3,1,3,2,2,3,NA,NA,NA
"O43929",-22.9380380058,NA,NA,-23.188424502,NA,NA,6,NA,4,3,NA,NA,NA,NA,NA
"O60216",-22.0813577146,-20.8187534699,-20.7070000076,-21.2176963914,-21.2101842888,-21.4645810469,7,11,14,8,11,10,0.790308994357783,0.928516228748068,0.0951168449999997
"O60220",-19.4799494495,NA,NA,NA,NA,NA,2,NA,5,NA,2,4,NA,NA,NA
"O60231",-24.1641530283,-23.5740823269,-23.0195431567,-23.1876173576,-22.7531787725,-22.5174120242,3,6,6,5,6,8,0.089612512446067,0.478,-0.766523452533331
"O60232",-21.492000731,-20.3599743879,-21.761821126,-20.4450248453,-20.4814807553,-20.449000004,2,3,1,2,2,3,0.102143212744773,0.504378283712785,-0.746096880100001
"O60256",NA,-22.1260327765,-22.5866398962,NA,-22.442694758,NA,6,7,7,6,6,4,NA,NA,NA
"O60264",-21.038425612,-21.8392609753,-21.6032724705,-21.7044157064,-21.7141442172,-21.9943866488,21,20,24,26,24,23,0.398826418851643,0.796742671009772,0.310662504866666
"O60271",-22.2641378276,-22.2819478521,-22.4170908534,-21.8110879976,-21.937856771,-22.1152527563,14,11,17,14,17,16,0.295815300365085,0.728971962616822,-0.366326336066667
"O60287",NA,NA,-24.8817399348,-25.7223205917,-25.6732622895,NA,5,6,8,7,5,8,NA,NA,NA
"O60294",NA,NA,NA,NA,NA,-24.1818349483,NA,NA,1,1,2,1,NA,NA,NA
"O60306",-21.9836276033,-22.5135001269,-21.6048845246,-22.7699321058,-22.4558834293,-21.3407540289,8,9,10,6,9,15,0.689589611682708,0.913254073095553,0.154852436399999
"O60313",-21.4387219382,-21.1690773558,-20.4508811001,-21.3819105491,-21.2124505051,-21.1754074171,16,17,19,15,16,19,0.518956687686691,0.848170398689241,0.237029359066668
"O60341",-20.6862814259,-21.4722392498,-20.792966383,-21.2709499428,-20.7080094851,-19.8895268608,20,18,16,18,18,23,0.382477597079323,0.795595320027529,-0.361000256666667
"O60343",NA,NA,NA,NA,NA,-25.4408589911,1,NA,1,NA,NA,2,NA,NA,NA
"O60488",-23.9275670135,NA,-23.9926209407,-24.1704399974,NA,-23.8269680904,1,3,3,2,NA,2,0.886975107865914,0.952091526635681,0.0386100667999969
"O60493",-20.4297463946,-21.074540046,-21.1488180007,-21.7979653345,-20.2909625813,-20.4788969701,6,4,4,3,4,4,0.920229339528709,0.957336108220604,-0.0284265184666666
"O60502",-24.2765731368,-23.5280122395,-23.324909189,-22.6203037678,-24.2101290508,-24.087666555,5,6,4,5,4,5,0.846336043810156,0.941916389197188,-0.0704650639000022
"O60506",-18.6661978195,-18.9843459295,-18.9346755006,-18.57753039,-18.591178311,-18.6954441334,44,26,43,35,49,45,0.470063060073017,0.827893175074184,-0.240355471733334
"O60563",-22.9075462318,NA,-23.0990501523,-22.9063639724,NA,-23.2719774175,1,2,2,2,1,2,0.785429140391636,0.928516228748068,0.0858725028999991
"O60566",-22.6396794273,-23.3329167157,-22.8601769005,-24.6891617933,-21.9908686075,-21.7513129158,5,4,8,6,7,10,0.766513275804846,0.928516228748068,-0.133809908966668
"O60568",-23.8281177247,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"O60610",-20.6517134148,-20.2384456903,-20.5172135027,-20.4022539294,-20.1290120088,-20.1799817445,32,38,31,33,39,37,0.493324261533355,0.833523375142531,-0.2320416417
"O60613",-21.0257016974,-21.6697253496,-20.6491712025,-20.6383725999,-21.6557479619,-20.6533401468,2,2,3,2,2,2,0.722189180219051,0.927388535031847,-0.132379180299999
"O60664",-19.3412926542,-19.2603520779,-20.0589325495,-19.1047964972,-19.5520724529,-19.4061836993,18,16,12,21,15,17,0.577372552273482,0.867326732673267,-0.199174877400001
"O60678",NA,NA,-22.6708664519,-23.5398974659,NA,-22.5370879832,5,5,9,6,6,8,NA,NA,NA
"O60684",-22.7847431267,-22.9101775252,-23.0589342551,-21.1364182443,-21.6256959501,-21.5678391911,7,11,12,12,9,10,0.00352821108529705,0.0806451612903226,-1.4746338405
"O60701",-23.1148903768,-22.2155387226,-23.202900153,-23.5995685734,-21.5960720012,-23.1826807071,5,6,2,4,6,3,0.883498838367076,0.952091526635681,-0.0516693235666672
"O60716",-21.3286675377,-22.217529435,-22.2302105673,-22.239415346,-21.3509936867,-21.1643628392,10,10,14,9,12,13,0.401008961168271,0.796742671009772,-0.340545222700001
"O60732",NA,-23.4483133138,-22.3120033456,NA,-23.9572442366,-22.546932511,6,4,8,3,9,8,0.448137238632592,0.808277541083384,0.371930044099997
"O60739",-18.0743966162,-17.8778392283,-18.2759074608,-18.1093912949,-18.0476321335,-18.4930207988,5,7,5,5,5,5,0.669297875871225,0.911711711711712,0.140633640633332
"O60749",-22.9586124131,-21.552191327,-21.5270878073,-21.241892706,-21.5216763556,-21.5419038482,8,11,10,9,8,8,0.195626783936276,0.633605600933489,-0.577472879199998
"O60763",-20.0654244668,-19.7161450433,-20.263205489,-20.2984684636,-20.1684257195,-20.206544342,13,22,19,15,19,23,0.537146199800863,0.85872430152873,0.209554508666667
"O60783",-20.7061145098,NA,-20.9250709654,-20.8060371583,-20.6762273714,NA,2,3,3,2,1,1,0.80419183538002,0.928900845503459,-0.0744604727499976
"O60814",-19.6062232962,-20.0281114766,-19.5205209154,-21.0857287974,-20.7425524959,NA,111,126,126,143,122,133,0.0131269498838367,0.173611111111111,1.19585541725
"O60825",NA,-23.1990438745,NA,-23.3414950433,-23.1448815193,-23.1587057088,1,1,2,4,1,2,NA,NA,NA
"O60828",-21.8901006793,-21.8838471917,-22.1413924655,-21.8947035108,-21.8255562967,-22.0530113171,1,2,3,1,2,2,0.863051941586459,0.945985401459854,-0.047356403966667
"O60832",-19.8045494985,-19.9532494464,-20.0451519531,-19.6185843931,-20.0273176406,-20.1870498894,13,20,17,19,16,15,0.951816296050448,0.967556606961811,0.0100003416999996
"O60841",-20.8405967268,-20.0060354421,-20.0704146824,-20.1815352282,-20.4035483919,-20.2578628457,26,34,35,34,28,34,0.920955194158646,0.957336108220604,-0.024700128500001
"O60869",NA,NA,-19.8491084986,-20.7220425359,-21.5228975389,NA,2,4,4,3,2,4,NA,NA,NA
"O60870",-22.9522056369,NA,NA,NA,NA,NA,1,1,1,NA,2,1,NA,NA,NA
"O60884",-20.2953095388,-20.1556691556,-20.2844951771,-20.3673406273,-19.9264707948,-20.5680149074,12,10,13,16,13,12,0.880216229671424,0.952091526635681,0.0421174860000022
"O60885",NA,NA,-24.5322971849,-24.8762186257,NA,-23.8382277987,7,7,10,10,8,10,NA,NA,NA
"O60888",-20.2395217593,-21.205936644,-21.2275971331,-19.7796338985,-20.943437224,-21.2511213772,4,4,4,4,5,5,0.56893030202456,0.867326732673267,-0.232954345566668
"O60925",-20.7589613201,-20.7082721303,-20.0793221237,-20.8930208546,-20.8152054336,-19.9546229869,2,2,2,2,3,2,0.895349817457683,0.955239786856128,0.0387645670000012
"O74700",NA,NA,-20.6611670828,NA,NA,NA,2,2,2,1,1,1,NA,NA,NA
"O75027",NA,NA,NA,-24.1590781207,NA,NA,2,NA,NA,2,NA,1,NA,NA,NA
"O75081",NA,NA,NA,-23.3929677258,-23.3585053394,NA,5,5,7,5,7,5,NA,NA,NA
"O75083",-20.2201720605,-20.6187458825,-20.4833269783,-19.9928955121,-20.4339133886,-20.5756021265,17,14,15,18,19,15,0.742145701958181,0.928516228748068,-0.106611298033336
"O75116",NA,-24.9593192458,NA,NA,NA,-24.9888219372,9,7,4,11,9,12,NA,NA,NA
"O75122",-24.5725042972,-24.5106255101,-22.3964740835,-24.3787645875,-24.4081194795,-23.056374848,10,9,16,5,6,13,0.776189844009293,0.928516228748068,0.121218341400002
"O75127",NA,NA,NA,-23.1125514402,-23.38527523,NA,NA,3,2,3,4,5,NA,NA,NA
"O75131",NA,-23.5064706357,-22.2660680122,-22.081164603,NA,NA,7,7,9,6,11,10,NA,NA,NA
"O75146",NA,NA,-24.209365788,NA,NA,-24.1043608541,NA,1,1,NA,1,2,NA,NA,NA
