"","protein_group","number_of_peptides_OEI06439","number_of_peptides_OEI06441","number_of_peptides_OEI06443","number_of_peptides_OEI06445","number_of_peptides_OEI06447","number_of_peptides_OEI06449","number_of_peptides_OEI06453","number_of_peptides_OEI06455","number_of_peptides_OEI06459","number_of_peptides_OEI06461","number_of_peptides_OEI06463","number_of_peptides_OEI06465","number_of_peptides_OEI06467","number_of_peptides_OEI06469","number_of_peptides_OEI06471","number_of_peptides_OEI06473","number_of_peptides_OEI06475","number_of_peptides_OEI06477","number_of_peptides_OEI06481","number_of_peptides_OEI06483","number_of_peptides_OEI06485","number_of_peptides_OEI06487","number_of_peptides_OEI06489","number_of_peptides_OEI06491","number_of_peptides_OEI06493","number_of_peptides_OEI06495","number_of_peptides_OEI06497","number_of_peptides_OEI06499","number_of_peptides_OEI06504","number_of_peptides_OEI06506","number_of_peptides_OEI06508","number_of_peptides_OEI06510","number_of_peptides_OEI06518","number_of_peptides_OEI06520","number_of_peptides_OEI06522","number_of_peptides_OEI06526","number_of_peptides_OEI06528","number_of_peptides_OEI06530","abundance_hcc_1","abundance_control_1","abundance_hcc_2","abundance_control_2","abundance_hcc_3","abundance_control_3","abundance_hcc_4","abundance_control_4","abundance_hcc_5","abundance_control_5","abundance_hcc_6","abundance_control_6","abundance_hcc_7","abundance_control_7","abundance_hcc_8","abundance_control_8","abundance_hcc_9","abundance_control_9","abundance_hcc_10","abundance_control_10","abundance_hcc_11","abundance_control_11","abundance_hcc_12","abundance_control_12","abundance_hcc_13","abundance_control_13","abundance_hcc_14","abundance_control_14","abundance_hcc_15","abundance_control_15","abundance_hcc_16","abundance_control_16","abundance_hcc_17","abundance_control_17","abundance_hcc_18","abundance_control_18","abundance_hcc_19","abundance_control_19","log_ratios_control..vs.hcc.","differential_abundance_qvalue_control..vs.hcc."
"30","sp|P00325|ADH1B_HUMAN",12,24,26,25,9,25,30,19,21,26,9,28,19,25,15,28,10,25,8,30,17,24,14,32,23,26,18,26,12,23,14,27,8,26,12,20,NA,24,24.6104245013674,27.0401432059267,28.0989660004154,27.3476366412858,23.5923663558972,26.786815904718,28.4936823818548,25.074961008369,25.4227922568599,26.8473082956897,23.9021475518115,26.6005103811859,25.9601464731371,27.0878606530864,24.8517244543881,27.0661476736413,24.0858246366616,26.4699273160895,22.0942613571154,27.7615163346027,25.9740414889711,26.7385592679615,24.7126892478254,27.1988382757325,26.5461427348403,27.0886737382633,26.5044153199598,27.1854339762301,23.8855494832243,26.7524298544865,24.7126812723131,27.45299827807,23.6571523620727,27.0984938163759,25.014953518709,26.0117273422836,17.6265981262453,27.2068832000007,2.16159503370156,5.96928870752879e-17
"31","sp|O43707|ACTN4_HUMAN",30,18,24,29,31,25,30,26,32,22,27,20,22,21,30,28,24,19,27,27,27,26,26,21,27,24,27,28,28,24,15,22,32,25,28,24,26,30,25.3072337512474,23.2078045138825,24.6352060811196,24.649922961418,25.8846679214705,23.7811302516596,26.0299116511757,22.9211870931601,24.4540067929465,22.665405643875,24.3679667065724,22.9740090941539,23.8547328709111,23.3526586698316,24.4315296123525,24.0248111350849,23.7899089000072,22.4901260604366,24.0788796645725,25.0688994511678,24.5495265299886,24.0893479957056,23.916044449948,23.7592668901804,23.9603176935734,23.8863193265151,24.2840077624829,24.6998478706042,24.0698355357558,23.1488459784674,22.2240436396553,24.1447058478166,24.987362474287,23.9507424069979,24.3039090632982,23.1372178791952,23.9856776275664,24.3029404967291,-0.676819955897342,0.00626613554335798
"32","sp|O75891|AL1L1_HUMAN",1,26,41,34,NA,30,35,13,30,35,7,21,32,30,20,26,18,25,1,31,19,30,17,32,33,27,36,30,10,40,22,27,3,22,22,25,NA,32,18.8770284298874,24.5893068847905,26.5909742805658,25.0441174196446,18.8511800092917,24.979353842318,26.0487780334868,21.6900092714266,24.356828992981,25.2014981829109,20.567068522436,22.6632399415248,25.3525717944768,25.0815715311559,23.0179410000684,24.3658965517235,22.6922808002216,23.2906734852398,18.9175412519398,25.6464391743634,23.2299147070363,24.962520266343,22.2479049201774,24.8250857207102,25.6383145983269,24.5401929696385,25.6953905841995,24.8484906606804,20.8322314742309,24.886160403161,23.8029509547048,24.3781540667063,19.1172759337859,23.5816090722437,23.2998393612087,23.4041068992137,16.9124264939885,25.2539132543866,1.95704723448248,5.63081948144903e-05
"33","sp|Q08426|ECHP_HUMAN",25,20,39,36,17,23,35,23,37,28,23,24,34,24,31,25,30,29,NA,31,26,30,26,32,29,34,38,33,26,23,28,36,13,33,33,33,NA,24,23.9558786730782,23.6529924167692,26.2360322993064,24.9058384119829,23.2232602304279,23.6017731682738,26.3165808190363,23.1046142690965,25.2724052518703,23.9625998697623,23.1198898871232,23.4757648435455,25.2864721714692,24.0904750965295,23.8956980458668,23.9486764608477,24.1232946509349,23.6193070978628,18.7896777098785,25.299102488157,24.038789411875,24.2297247865694,23.5454080586332,24.4966765593891,23.9825509689357,24.8534946972565,26.0139915157305,25.0937479851105,23.4912517502474,23.427620268897,24.252726347983,25.2155685472104,21.912285063904,24.7651394760881,24.6945175148247,24.2484487982388,17.1667901624072,23.9031555299245,0.5566958019989,0.189056869181903
"34","sp|Q9P2E9|RRBP1_HUMAN",22,15,16,18,32,15,19,18,26,19,15,17,11,18,22,19,16,17,14,19,24,20,16,17,16,19,19,18,19,21,14,25,17,20,18,21,10,19,24.1553943687595,23.5900355435992,23.6072668675136,23.3855609547732,25.1310212152168,22.5194079392904,23.6946159182486,22.7014541119929,24.0036954697086,22.9518622942712,22.1863075699263,23.0605356426825,21.0695240120843,22.9530835641565,23.2731247164698,23.6838758297592,23.1255011287785,22.4140015338845,22.8365036617136,23.9737289799792,23.8303811596815,23.2547802358986,22.485389580161,23.1143784385176,22.3983347973503,23.2335633613414,24.013300691429,23.418757628037,23.1757962209263,22.371946098951,21.4500439094977,23.7455037423862,22.5969876060912,23.6858164417811,23.2783974182674,22.5655756964557,21.8294499319594,23.4760130283378,0.103097095911147,0.269592661363681
"35","sp|P08670|VIME_HUMAN",38,24,24,23,43,18,29,30,31,22,34,25,23,16,25,25,27,21,24,25,18,25,24,16,21,23,22,28,25,22,18,25,42,28,28,21,37,23,26.995994213443,25.500062481547,24.6476485778421,24.5330970388859,27.382703966534,22.9569795210409,25.1357750324272,23.8968846523342,24.9101510933125,23.1639235651495,25.6156049431611,24.5964089671522,23.7714510834068,23.3946610339593,24.3113949427792,24.8232427329021,24.4167091477075,23.1833779316776,23.5929395488001,24.9929466318154,23.3590827606611,24.2594144200766,24.2176725810845,22.5526291145435,23.7272966652049,24.1102497516954,24.6246405285326,25.6713121376377,24.2532057875699,23.320000739941,23.5809666306285,23.6858323718329,26.8919829720897,24.2856285479159,24.4121321535907,22.9373605287925,26.9081345714637,24.0796704851627,-0.884831818219832,0.00960449508935453
"36","sp|P0C0L5|CO4B_HUMAN",27,13,25,20,34,15,28,15,27,13,23,13,18,15,21,13,12,4,14,31,26,16,3,6,39,27,20,28,36,14,9,12,25,19,20,12,6,10,23.5105977045701,22.2846066812284,23.690910748078,23.0155804333883,25.1861809029057,21.6500095483578,24.408095556056,21.1747047660718,23.2423898473818,21.3893330434578,22.6973700835237,21.5938692198968,22.1794859079353,22.2134933307228,22.6582169316968,21.872349673683,21.7754722390945,20.4370949693103,22.456330097903,24.4623096742765,23.6241910447544,22.470350803396,19.5486225068571,20.3846431922632,24.8873916944646,23.3347502455653,22.9197292468076,23.463882536028,23.5208895939405,21.1563531587281,20.9273623978029,21.6475368175342,23.1138113051434,22.3561517052822,22.5212683079106,21.0220499329046,20.3486599558216,21.5591264997298,-0.827830517938037,0.00373630158378538
"37","sp|P13667|PDIA4_HUMAN",31,30,30,24,38,25,36,23,23,29,24,30,13,20,29,27,29,26,27,33,33,26,22,26,32,27,27,23,33,24,17,25,28,27,32,27,30,27,24.9233812606111,25.1704886886544,25.4409370761462,24.3939744490862,26.0552182134224,23.7119611957234,25.8643472236175,22.9278713481113,24.2773049968555,24.2890128956112,23.6582329514758,24.7556783545964,22.1203690442312,23.9633087818456,23.8637718860063,24.9233005517282,23.9267753765981,23.6083957258482,24.0303952004585,25.1390176146898,24.639421308577,24.0904020838402,23.1649604644208,23.6260743926789,24.2041954432492,24.5949936904217,24.4456384243031,24.4605891289864,24.5552241839994,23.1589259740243,22.3843359628165,24.1516869030913,23.9138701231172,24.1507518071372,24.724623241323,23.2720844093129,24.8096576508738,24.5506543832545,-0.108604613340026,0.793703956777185
"38","sp|P11586|C1TC_HUMAN",16,24,31,29,14,31,33,25,34,31,28,30,19,30,25,27,20,26,8,33,20,30,22,33,31,27,31,26,21,30,13,32,16,34,30,32,14,30,22.9069804824071,24.3020431215047,26.0750168472656,25.5191684291776,23.5252144355614,25.1266208259331,26.6171572492463,23.8903856376629,25.2787182777833,25.0766623077775,23.8128647356193,24.4478656700776,22.9828693176563,24.8697937535682,24.143303798701,24.9364232662204,22.9826718592132,24.3853853236453,21.1860277690927,26.0203080549882,23.4218850506589,24.7873228131397,23.117530709832,25.3614067784734,24.1874395215156,25.3456817714902,25.065497982935,24.8538714755922,22.8985751874245,24.4736517513781,21.3208183112588,25.5622828404879,22.6333502573335,25.3099629688436,23.7950408429639,24.4975666953175,22.5289296611709,25.2001540217516,1.34140343207318,3.34852343979645e-12
"39","sp|P07900|HS90A_HUMAN",28,25,27,26,36,20,32,20,27,25,30,23,31,23,33,22,26,20,31,28,31,26,30,24,26,24,29,27,29,22,22,26,26,25,28,26,29,27,25.6364896553828,24.9388388054201,25.7395356824705,24.6850754465625,26.6393614663236,23.8673658494227,26.2153352509851,23.4946375965203,24.8512502621007,24.2365319156537,25.0174044914099,24.4623283985079,25.4649675804799,24.1381020868056,24.9115105784906,24.6640895942873,24.5517930877075,23.921531712464,25.3099342510443,25.4702281526077,25.7104047708002,24.4349730265574,24.9521204627939,24.4400491985091,25.0012305268852,24.4971071345018,25.1791241232268,24.7858599087482,24.9113881474283,23.6104911882204,23.9286501130715,24.8154422260591,24.5026208447515,24.4361365915828,24.7056235290949,23.8969415464831,25.3709350571944,24.6172530006729,-0.799299815897632,1.05787850786395e-08
"40","sp|P98160|PGBM_HUMAN",23,1,13,6,38,2,16,7,22,1,18,1,3,5,10,NA,8,NA,25,NA,11,1,7,NA,12,1,8,2,12,NA,11,NA,28,1,23,2,12,1,22.7275348503819,18.9015315704149,22.5320513568084,21.2364992166608,24.5868347496888,18.5078044326686,22.7111171150199,19.2149338932077,22.4460751602414,18.1687243106922,22.07469500922,16.9154948749491,20.3864486627767,19.8152917234039,20.8533623913143,17.2094103369732,20.5818417749545,15.4528962770846,23.0232543572121,19.9517830742117,21.258013876567,19.4959185617678,20.9331002587568,17.6679931322064,21.4551860994328,18.6498876675289,21.2488250198589,20.242436224283,20.7814592764116,17.9941261193419,20.614224003569,18.588586549726,22.8947374755259,19.4519480706976,22.3175232994937,19.2889232391756,22.0290317181087,18.6803317405421,-3.15898923367402,1.00200336121026e-09
"41","sp|Q06278|AOXA_HUMAN",8,16,35,29,24,25,32,24,29,23,22,16,23,23,20,22,19,13,2,40,12,29,23,30,31,32,29,30,17,27,17,18,2,26,1,29,NA,33,20.9723983263946,22.6129388946838,25.833456178566,24.5333928311517,24.4403535412737,23.7453743823265,25.3643994641517,22.3573706480011,24.1826651618838,23.4493218478339,23.0437897812653,22.4424111449441,23.1243976016981,24.2975582084046,22.7121153181438,22.8544631396824,22.2012258007981,21.4785758481816,19.2328576964158,26.120110654636,22.0854988795268,24.000198626288,23.0599012380315,24.3568930515371,24.4236267061378,24.7735606021209,24.1852302430754,24.5655709319926,21.8762261480212,23.5460369626371,22.3665029827443,23.0122246978866,18.4870043523543,23.8825675848989,18.952756714949,23.504148691897,16.1008906162659,25.0517658795333,1.47048357247053,0.022456207616558
"42","sp|Q14315|FLNC_HUMAN",3,1,3,3,3,3,3,3,3,1,3,1,46,2,3,1,3,NA,2,3,4,3,2,1,26,2,3,3,3,3,2,NA,5,1,2,2,3,3,21.1563338688019,19.2279424286508,20.142597900554,20.8023958636127,22.0930161222856,19.874887479158,21.9103860898739,19.0098904373977,19.6379626323663,18.1423612321117,20.6635424691919,18.1127643148493,24.2038865398626,20.444520156609,19.959847654083,19.3544215803008,20.0440388532716,18.9354004964296,19.9787973770993,21.2652056859098,20.5481768104839,20.1220337733696,19.9284994936594,18.9848160897678,22.9248016325627,20.4167610631798,19.8510996355471,21.3570917895426,19.7041423878738,19.1224284993765,19.5227383673904,20.0573935508807,21.4560648382607,19.8025654621626,19.969148123049,19.0027271294603,22.0440126635298,20.9821464515951,-1.09059684080961,0.0295117696436745
"43","sp|P06733|ENOA_HUMAN",25,21,23,20,22,19,28,18,26,26,25,23,24,14,25,21,23,22,26,26,21,23,28,25,26,23,19,19,22,18,17,24,20,25,23,24,24,26,25.8096477408142,25.705167465802,26.1873599271518,25.3150903968513,25.9719332592212,24.6049198808656,26.6264984479078,23.9179847838292,25.4443974436165,24.7602550836669,26.1742884371124,25.2904565241857,26.0009885614747,25.068034619125,25.9888548935132,25.5522797733642,24.7791902261837,25.4682230474516,25.6502572240736,26.0584094697606,24.7603936752467,25.1345781368032,26.2233337437574,25.5533815700308,26.4913411851508,25.1587803956472,24.5265601302038,25.4224967620202,24.5220113050934,24.1861426587674,24.1130483665214,25.868640782494,24.6671348282957,25.3639072170366,25.334262099331,24.6247123615581,26.0082008576533,24.840192050872,-0.388739440641631,4.55456238365344e-09
"44","sp|P0C0L4|CO4A_HUMAN",27,12,23,20,35,15,26,15,25,14,22,12,17,16,21,11,14,4,15,29,27,17,3,5,38,26,20,26,32,13,10,13,25,17,21,12,7,10,23.4411034132143,22.2077370552393,23.6415174223563,23.0275520458057,25.1303326922643,21.6843982832903,24.3358091690911,21.1736763739212,23.2091989948093,21.4305776100348,22.6031307517712,21.5441960150678,22.2777837157165,22.3089172447078,22.6030186593481,21.6121737854756,21.9294980792728,20.4039487195212,22.3458333435893,24.3564292678085,23.6245872091607,22.5528323009635,19.4872930759899,20.1663850043231,24.8299998401816,23.2532300295302,22.8900362806891,23.4057002062067,23.3476774578441,20.9719133520777,20.9405008981627,21.6876148915769,22.9712568201018,22.2363927938251,22.5479770844292,20.9921748492644,20.3151778944378,21.572961072694,-0.835943257952437,0.0228231063513441
"45","sp|P08133|ANXA6_HUMAN",18,22,27,24,25,26,31,26,27,25,13,23,19,20,26,23,19,21,6,27,24,21,6,23,17,24,20,25,28,26,14,29,25,25,25,24,17,22,22.9632707644123,23.624936760952,24.9980911061223,24.4781009367553,24.3388821591248,23.3204340994264,25.8594992416294,23.1388058138221,24.2138280632513,23.7713477079021,22.0789825706639,23.8446814401179,23.0197120323309,23.1502163087654,23.6025816421897,23.9818645135129,22.9163774514576,23.1521147574588,21.4210129842331,24.647263967449,23.8220755757079,23.3319164495723,20.6364041384625,23.9549796284613,22.6956104149646,23.8697902713749,23.5186477535088,23.9489458016655,23.2901263095589,23.2581886054502,21.7527452762719,24.5839134838815,24.1611040434559,24.241777503435,23.9343022292609,22.9711739206825,23.4905568809888,23.1470041080271,0.405455023216668,0.0373811721451729
"46","sp|P07327|ADH1A_HUMAN",13,20,20,22,9,24,26,18,24,27,11,24,15,23,16,23,10,23,8,30,23,26,16,35,18,27,22,22,13,21,15,30,7,29,14,25,NA,23,25.0170562826178,26.6373828457388,27.7227903368726,27.1326093923237,23.4742752089241,26.6116108866066,28.0815037552365,25.0939971206436,25.1728321696891,26.6707662327903,23.7630640131667,26.3058226827574,25.582197467378,26.774591736913,24.6396628605588,26.6832771465189,23.8201968850268,26.1496167362301,21.5076093254957,27.4546965225297,25.8991564568235,26.5573254478552,24.5345227956687,26.8670222823141,25.9709573070174,26.7766441685468,26.2327047544044,26.8015893686074,23.8702847527843,26.525600976452,24.3928966095878,27.2138371089986,23.4367278061942,26.9302275021883,24.7742961391705,25.8847904988966,NA,26.8511767602597,1.74457477749518,5.96928870752879e-17
"47","sp|P22314|UBA1_HUMAN",17,8,16,17,20,14,20,13,20,8,20,6,23,16,20,10,16,6,26,21,20,20,18,15,16,18,17,19,17,15,13,14,18,17,15,10,34,17,23.5042540637643,21.7039717775947,22.9540633339304,22.8508448590153,23.7459358501497,22.1302258420041,24.0675715659338,21.252055413549,22.8907236864172,20.6649350588977,22.3598975174983,19.8412280195595,23.4926503862871,22.0909757477243,22.944471955727,21.2562531833952,22.113757424617,20.0828750696606,23.5820830472846,23.7656781323017,23.6792954941017,22.6957283876161,22.4902297678478,22.455235775554,22.361445333148,22.3369536443565,22.7380782367234,23.0441926458562,22.4031835712774,21.6725883857999,21.1974815841858,22.4721700984788,22.4474760146186,22.381550476115,22.2884305896167,21.3102187678787,25.2458261299256,22.692748296533,-1.04244347216653,0.00757832743207469
"48","sp|P04040|CATA_HUMAN",17,25,28,22,18,20,32,22,26,28,14,24,24,22,23,24,23,28,14,27,27,26,24,29,22,25,31,25,19,25,22,30,14,28,27,27,24,24,23.8037508763645,25.8179044912574,25.8934212475196,25.784336904965,24.7307353665341,24.4412565581113,26.2727915068951,24.0078326308592,25.1339721851755,25.5135643655369,22.5044218668231,25.7496227292524,24.8458345733066,25.1101493706268,24.3383075346183,25.3840942922883,23.7421514114167,25.1667932020112,22.2722305275547,26.1693097074198,25.282695514359,24.8070286094996,23.6577116179874,25.4835239114398,24.0804049185974,25.4745361514757,26.1620287665861,25.6624180404252,23.1096352463421,24.5626074107698,24.1605014398051,26.3950231030215,23.1799758889022,25.685900473494,24.9107521433806,24.7295667063619,23.6573957615384,24.76036524729,0.9982692374947,5.85307766430359e-07
"49","sp|P30101|PDIA3_HUMAN",31,26,28,24,35,23,27,25,27,27,27,27,22,26,26,25,25,20,35,31,34,28,24,28,24,25,25,25,29,24,22,28,23,27,33,30,28,28,26.326786326812,25.6718121710962,25.9901173841915,25.2583219028858,26.9344972412003,24.5883197057922,26.1581657235099,24.1621577255901,25.0125578779817,25.1186605677352,25.241609648764,25.4391791669708,24.3648787225879,25.0588852137236,25.1678986170466,25.8202631188337,24.7250219020493,24.4532711364648,26.2590906751016,26.1044970187248,26.2696056936672,24.9730228053876,24.6102451525111,24.7959039044604,25.1450758996672,25.4301166269527,25.4869756574459,25.3995265829878,25.1844236493101,24.3508811961539,24.0533694448239,25.104145210424,24.8507194584651,25.2345299262633,25.1901291009414,24.53033929696,25.3678958079289,25.4215702378221,-0.285455814146137,0.000454473943683225
"50","sp|P02545|LMNA_HUMAN",23,24,18,21,39,20,24,21,27,21,23,22,24,19,22,21,20,19,21,19,29,23,22,18,24,19,22,21,24,19,20,21,24,18,26,15,20,19,25.0800008149595,24.6122594051824,23.607508106396,23.3207453326538,26.538812585134,22.6034710517688,25.5540501160763,21.9751171965586,23.7410524711714,22.873447773651,23.7214725399963,23.360264396548,24.0354580921477,22.8092710099539,23.5176666251466,23.6690497266333,23.5263953602077,22.7860347616449,23.8158126594238,23.6212719633449,25.7560303390975,23.2380184988763,23.3272563098929,22.3000546365236,24.0192785145854,22.6826958938019,23.6055611278133,23.8386178526595,24.0411616463518,22.0565583393028,23.0958530021837,23.4351970380753,25.0245568611461,23.0349921840321,24.0569561666417,21.7205952877296,23.4919017704206,23.3708926324603,-1.17095948038902,3.0243264531436e-08
"51","sp|P60709|ACTB_HUMAN; sp|P63261|ACTG_HUMAN",21,14,14,17,25,18,16,19,21,15,17,13,16,15,18,19,16,11,28,19,16,17,16,14,20,15,14,20,20,18,12,21,25,18,20,17,22,18,28.6765537036344,27.1004299125151,27.7658373433925,27.3766303092638,28.9183937761844,26.2669942271825,28.0387642986261,26.1843249691065,27.4468393509541,26.1503300568161,27.3160135430498,26.5085447279906,27.4304743738556,26.5506377103215,27.0567552825074,27.1374192810611,26.9105515162076,25.8543351043202,27.4046485040436,27.9171577991477,26.6073311039876,26.8786581874147,26.3636003461258,26.4699461900555,27.320130375734,26.9332547252711,27.2081773409664,27.7725443346731,26.8865194445478,26.2766463924623,25.371767340371,27.1760778607345,28.156325998438,26.9583922603502,27.0105581544357,26.2622531637994,27.7686590576254,27.1472529118535,-0.565056354228832,0.11046945833875
"52","sp|P06737|PYGL_HUMAN",5,24,25,26,12,26,9,23,31,25,1,25,3,21,20,25,15,22,8,29,25,24,9,28,7,25,21,23,18,24,2,44,13,31,29,25,12,21,22.2119580835917,24.0312081612651,24.3455847299193,24.7916684708774,23.3048696012684,24.0641447539803,22.9655944253371,22.8795199644516,23.8523235724098,24.2596043511332,20.32307277544,24.3075734141684,20.7972019830493,23.7327560997284,22.7113771029146,24.3096636929905,22.5689535724759,24.2009379562364,21.0594906892783,24.8976666579641,24.0644990510126,23.6977048789487,21.6275502486053,24.5011893181594,21.6689057538741,23.9337793375951,23.6960755598806,24.2671627271458,22.3564787021912,23.5315735030843,20.2379226882407,25.4571495122971,22.2594690170409,24.7575626501446,23.9895567408296,23.3183644818978,21.9731979359821,23.3373385190556,1.69802559040959,1.18185354418198e-07
"53","sp|P02768|ALBU_HUMAN",25,18,21,25,26,26,24,23,32,20,23,17,24,21,25,18,22,18,27,25,25,24,22,25,27,22,22,27,22,22,23,25,35,26,24,22,25,24,28.2540851637425,25.8744921321382,27.1757589185584,27.7346123635847,28.8695640990357,26.9120055914457,27.6907685143959,25.9222499268888,27.7476558182133,25.8153518262719,28.056928226408,24.7823531934504,27.4150766248014,27.5545464628203,27.0540895570173,26.0991691204943,26.7839378237834,25.2722332333085,27.2538883027526,28.2422181381022,27.6960355384701,27.300310242974,26.6293993128381,27.0107469679279,28.2898601702,27.355579618324,27.0689612636072,28.4151342792694,26.9783641314106,27.0753449795675,26.3557693984101,27.1280974023729,28.8020881545245,27.1422699111151,27.1155207680616,25.6037611377182,27.698973893216,27.0180284738541,-0.772537930411505,0.000454473943683225
